fold,n,threshold,micro_f1,macro_f1,model
1,81,0.48000000000000004,0.7846481876332623,0.7098297684412963,trimodal
2,81,0.49,0.8301886792452831,0.7355182170133199,trimodal
3,81,0.52,0.7795918367346939,0.6436523000456829,trimodal
4,81,0.45,0.7815126050420168,0.6813088270518611,trimodal
5,80,0.52,0.7520661157024794,0.6507022792178803,trimodal
1,81,0.49,0.7123893805309734,0.5007848709259347,text_only
2,81,0.5,0.7543859649122807,0.5308662888561729,text_only
3,81,0.48000000000000004,0.7225806451612903,0.48891779851924766,text_only
4,81,0.44,0.6816326530612244,0.4815788620428363,text_only
5,80,0.56,0.7006960556844548,0.4840507990531358,text_only
1,81,0.88,0.5606060606060606,0.37898320281530457,image_only
2,81,0.87,0.674937965260546,0.45866033780025794,image_only
3,81,0.8400000000000001,0.7042889390519187,0.5824038859274779,image_only
4,81,0.8300000000000001,0.6206896551724138,0.4866728213050295,image_only
5,80,0.88,0.6714975845410628,0.5373503914605682,image_only
1,81,0.54,0.4982078853046595,0.2625169450470228,audio_only
2,81,0.64,0.5564853556485355,0.2931672883811409,audio_only
3,81,0.55,0.5053763440860215,0.28493549886607145,audio_only
4,81,0.65,0.4867075664621677,0.33692001237196184,audio_only
5,80,0.63,0.5241635687732342,0.3491192106989805,audio_only
1,81,0.5,0.7020408163265306,0.5761597658860642,text_audio
2,81,0.49,0.7272727272727273,0.5937342882268142,text_audio
3,81,0.38,0.6951672862453532,0.5152371886358108,text_audio
4,81,0.53,0.701195219123506,0.5540677275051,text_audio
5,80,0.7100000000000001,0.7272727272727273,0.5724389763209667,text_audio
1,81,0.6,0.604982206405694,0.48075764698653384,text_image
2,81,0.8400000000000001,0.7272727272727273,0.553688100222701,text_image
3,81,0.91,0.7360406091370558,0.5887389989144375,text_image
4,81,0.88,0.7163461538461539,0.5685789297087521,text_image
5,80,0.91,0.6903553299492385,0.530223046373389,text_image
1,81,0.74,0.6284501061571125,0.5103780177149743,image_audio
2,81,0.6900000000000001,0.7236580516898609,0.580196779745422,image_audio
3,81,0.8300000000000001,0.7396061269146609,0.6527782871866712,image_audio
4,81,0.75,0.7024793388429752,0.5846669551700511,image_audio
5,80,0.56,0.7036328871892925,0.5692835312332405,image_audio
